"Brand_Reg","Australia+Mode(Screen_Tech)"
"AIWA","LCD (LED)"
"AKAI","LCD"
"AOA","LCD"
"Avel Innovations","LCD (LED)"
"BAUHN","LCD (LED)"
"BLAUPUNKT","LCD (LED)"
"Blaupunkt","LCD (LED)"
"Brooklyn","LCD (LED)"
"CAIXUN","LCD (LED)"
"Caixun","LCD (LED)"
"Concentric Care","LCD (LED)"
"DEVANTI","LCD (LED)"
"DEVANTi","LCD (LED)"
"DGTEC","LCD (LED)"
"Dynalink","LCD"
"ELITELUX","LCD (LED)"
"EMETE","LCD (LED)"
"ENGLAON","LCD (LED)"
"FFALCON","LCD (LED)"
"FURRION","LCD"
"Gorilla","LCD (LED)"
"HISENSE","LCD (LED)"
"HYUNDAI","LCD (LED)"
"Hitachi","LCD"
"Hubbl","LCD (LED)"
"Hubbl Glass","LCD (LED)"
"ILUMA","LCD"
"KOGAN","LCD (LED)"
"Kodak","LCD"
"Kogan","LCD (LED)"
"LAD","LCD (LED)"
"LG","LCD (LED)"
"LOEWE","OLED"
"LSP TV","LCD (LED)"
"Linsar","LCD (LED)"
"METZ","OLED"
"MITSUMARU","LCD (LED)"
"MYVI","LCD"
"Monster","LCD (LED)"
"PHILIPS","LCD (LED)"
"PRISM+","LCD (LED)"
"Palsonic","LCD (LED)"
"Polaroid","LCD"
"Q.Bell","LCD (LED)"
"QBELL","LCD (LED)"
"S VISION","LCD (LED)"
"SAMSUNG","LCD (LED)"
"SAMSUNG ELECTRONICS","LCD (LED)"
"SHARP","LCD (LED)"
"SKYWORTH","LCD (LED)"
"SMARTTECH","LCD (LED)"
"SMTV","LCD (LED)"
"SONIQ","LCD (LED)"
"SONY","LCD (LED)"
"STARVISION","LCD (LED)"
"SVISION","LCD (LED)"
"SYLVOX","LCD"
"ShareTV","LCD"
"Shenzhen Xinchaoda Technology Co., Ltd","LCD (LED)"
"Signify","LCD (LED)"
"Skyworth","LCD (LED)"
"Smarttech","LCD (LED)"
"Sony","LCD (LED)"
"Sphere","LCD (LED)"
"Stan Cash","LCD (LED)"
"Sylvox","LCD (LED)"
"TAVICE","LCD"
"TCL","LCD (LED)"
"TEAC","LCD (LED)"
"TECO","LCD (LED)"
"TELEFUNKEN","LCD"
"THOMSON","LCD (LED)"
"TOSHIBA","LCD (LED)"
"Thomson","LCD (LED)"
"VDT","LCD (LED)"
"VEON","LCD (LED)"
"Viano","LCD (LED)"
"WALTON","LCD (LED)"
"Yokohama","LCD (LED)"
"kogan","LCD (LED)"
"yokohama","LCD"
